,nome,endereco,email,idade,renda
28,Dra. Clarice Carvalho,"Vereda Moreira, 6
Vila Canto Do Sabiá
95144424 Costa / PE",pereiraerick@example.org,66,2196.67
29,Ana Carolina Araújo,"Trecho Letícia da Mata, 518
Beija Flor
91802116 das Neves das Pedras / DF",rodriguesana-julia@example.com,57,5791.4
30,Nina Novaes,"Vila João Gabriel Monteiro, 87
Conjunto Novo Dom Bosco
54646059 da Rosa do Sul / TO",gda-mota@example.com,51,4945.5
31,Mariane Rodrigues,"Viela Dias, 65
Novo Tupi
67822-285 Campos / DF",da-conceicaokevin@example.net,21,12582.83
32,Nicole Pereira,"Ladeira de da Cruz, 74
Vila Califórnia
92443-623 Lopes / SE",portorodrigo@example.org,36,6839.57
33,Larissa Jesus,"Condomínio Araújo
Laranjeiras
36631-651 Melo / GO",theo59@example.net,32,15027.02
34,Camila da Mata,"Via de Souza, 67
Conjunto São Francisco De Assis
86499-005 da Cruz de Goiás / AP",bfreitas@example.com,67,19592.1
35,Cecília da Mota,"Aeroporto Azevedo, 2
Vila Santo Antônio
57458309 Correia Verde / AP",camilanunes@example.com,19,11371.4
36,Alexia Silveira,"Largo Almeida, 1
Vila Independencia 1ª Seção
32332622 Nunes do Galho / AL",joao-guilhermeda-cruz@example.net,24,15255.61
37,Ana Carolina Cardoso,"Rodovia de Rocha, 48
Barroca
81696603 Almeida de Moura / PI",juliamoreira@example.org,32,1956.24
38,Gabriel Duarte,"Colônia Ferreira, 4
Santa Amelia
85172228 Costa / PE",pereiralivia@example.com,45,2426.16
39,Beatriz da Rosa,"Parque Ana Julia da Rocha, 99
Vila Nova Cachoeirinha 2ª Seção
95012758 Porto / MT",benjaminnovaes@example.com,53,12228.16
40,Sra. Ana Clara Costa,"Morro Vitor Pinto, 456
São Marcos
67071-866 Lopes do Norte / PB",azevedoana-clara@example.org,39,12890.5
41,Maria Cecília Rodrigues,"Campo Moura, 82
Maria Virgínia
41006347 da Costa / PR",brenosales@example.net,48,5904.95
42,Murilo da Rocha,"Trecho Clarice Rocha, 14
Bonfim
73472-502 Monteiro da Prata / MA",hda-mota@example.net,51,1183.95
43,Brenda Gomes,"Feira Freitas
Vila Batik
59689189 Martins de da Mota / BA",barrosmaria-julia@example.net,68,11889.01
44,Davi Luiz Fogaça,"Loteamento Ramos, 48
Fernão Dias
09018-900 Cardoso / PA",brenogoncalves@example.net,70,13204.54
45,Bruna Cunha,"Viela de Fernandes
Vila Havaí
51699071 das Neves do Norte / MG",vieiralaura@example.net,36,14707.61
46,Murilo Melo,"Parque Laura Moreira, 91
Comiteco
09079-563 Cardoso da Prata / AL",carvalhomaria-alice@example.com,53,13042.08
47,Dra. Esther da Mata,"Favela de Souza, 90
Vista Alegre
62591-738 Castro do Oeste / PI",hvieira@example.com,29,9772.26
48,Kevin Rocha,"Condomínio Cecília Silva, 3
Santa Maria
29343-807 Gomes do Oeste / RO",alexandre40@example.com,46,10172.04
49,Bianca da Costa,"Núcleo Pedro Henrique Dias, 2
Vila Piratininga
28988-462 Alves / SE",gabriela29@example.net,65,6704.94
